FUENTE;FUENTE 2;FECHA;HORA;ORIGEN;DESTINO;CANTIDAD;MONTO;INFRAESTRUCTURA;INSUMOS MEDICOS;EQUIPAMIENTO;IMPLEMENTOS DE BIOSEGURIDAD;CONCEPTO;ESTADO;NOTICIA
MSA;REDES;16/05/2020;20:37:37;GOBIERNO;ORURO;;;;OK;OK;OK;COMPRA;Entregado;" #COVID19: Gobierno entrega respiradores, camas de terapia intermedia, equipos para centros de aislamiento e insumos de desinfecciÛn en #Oruro

Lee la nota completa en: "
RAZ;REDES;16/05/2020;15:29:39;GOBIERNO;ORURO;;;;OK;OK;;COMPRA;Entregado;"#EnDirecto 

La presidenta Jeanine AÒez JeanineAnez hace la entrega de respiradores, camas e insumos mÈdicos en #Oruro "
RAZ;REDES;16/05/2020;19:45:49;GOBIERNO;CHUQUISACA;10;;;;OK;;COMPRA;Entregado;La presidenta JeanineAnez hace la entrega de 10 respiradores en #Sucre y equipamiento mÈdico. 
RAZ;REDES;17/05/2020;19:30:50;GOBIERNO;TARIJA;10;;;;OK;;COMPRA;Entregado;El Gobierno entregÛ  este domingo a Tarija 10 respiradores, camas de internaciÛn de tres movimientos, insumos mÈdicos y nuevos Ìtems en salud, en el marco de la batalla contra la expansiÛn de la pandemia del #coronavirus #COVID19. 
BOL;REDES;18/05/2020;18:54:44;PRIVADO;GOBIERNO;;;;;;OK;DONACION;Entregado;Fueron entregados insumos de bioseguridad 
BTV;REDES;18/05/2020;19:29:16;PRIVADO;CHUQUISACA;;;OK;;;;COMPRA;Entregado;"     
El Colegio MÈdico de #Chuquisaca contratÛ este lunes los servicios de un hotel para habilitar como centro de aislamiento a personal del sector salud que presente sÌntomas de #coronavirus.
"
BTV;REDES;18/05/2020;23:25:30;GOBIERNO;POBLACION;170;4706110;;;OK;;COMPRA;Entregado;"
Min. de Salud, Marcelo Navajas: Compramos los respiradores por un monto de 27.683 dÛlares la unidad a travÈs del Banco Interamericano de Desarrollo. "
DEB;REDES;18/05/2020;02:15:53;PRIVADO;POBLACION;;;;OK;;OK;DONACION;Entregado;El candidato de la alianza Creemos entregÛ DONACI”Nes este fin de semana  
DEB;REDES;18/05/2020;14:52:32;GOBIERNO;POBLACION;;;;;;OK;DONACION;Entregado;"Los primeros lotes de barbijos fueron donados y entregados a todas las personas que est·n en primera lÌnea luchando para preservar la vida de todos los bolivianos.  
"
RAZ;REDES;18/05/2020;15:39:29;PRIVADO;GOBIERNO;;3000000;;;;OK;DONACION;Entregado;"#EnDirecto
La CervecerÌa Boliviana Navional (CBN) dona equipos de bioseguridad para la lucha contra el coronavirus, con una inversiÛn de m·s de 3 millones de bolivianos "
